N;Nombre;Lugar;Tipo;Latitud;Longitud;;;;
;;;;;;;;;(iglesiamdsduran)-[:DISTANCIA_A {distancia:92, recorrido:21}]->(estaciondelaaeroviaduran),
;;;;;;;;;(iglesiamdsduran)-[:DISTANCIA_A {distancia:86, recorrido:11}]->(aeroviaduran),
;;;;;;;;;(estaciondelaaeroviaduran)-[:DISTANCIA_A {distancia:14, recorrido:24}]->(aeroviaduran),
;;;;;;;;;(estaciondelaaeroviaduran)-[:DISTANCIA_A {distancia:12, recorrido:16}]->(coopdetransportepresidenteeloyalfaro),
;;;;;;;;;(aeroviaduran)-[:DISTANCIA_A {distancia:116, recorrido:13}]->(coopdetransportepresidenteeloyalfaro),
;;;;;;;;;(aeroviaduran)-[:DISTANCIA_A {distancia:374, recorrido:57}]->(terminalterrestrededuranluisrodastoral),
;;;;;;;;;(coopdetransportepresidenteeloyalfaro)-[:DISTANCIA_A {distancia:342, recorrido:48}]->(terminalterrestrededuranluisrodastoral),
;;;;;;;;;(coopdetransportepresidenteeloyalfaro)-[:DISTANCIA_A {distancia:347, recorrido:5}]->(cooperativadetransportesecuador),
;;;;;;;;;(terminalterrestrededuranluisrodastoral)-[:DISTANCIA_A {distancia:11, recorrido:27}]->(cooperativadetransportesecuador),
;;;;;;;;;(terminalterrestrededuranluisrodastoral)-[:DISTANCIA_A {distancia:14, recorrido:3}]->(cooperativasmariscalsucretranssan),
;;;;;;;;;(cooperativadetransportesecuador)-[:DISTANCIA_A {distancia:3, recorrido:3}]->(cooperativasmariscalsucretranssan),
;;;;;;;;;(cooperativadetransportesecuador)-[:DISTANCIA_A {distancia:1, recorrido:1}]->(cooperativadetransporterircay),
;;;;;;;;;(cooperativasmariscalsucretranssan)-[:DISTANCIA_A {distancia:14, recorrido:29}]->(cooperativadetransporterircay),
;;;;;;;;;(cooperativasmariscalsucretranssan)-[:DISTANCIA_A {distancia:36, recorrido:21}]->(medigroup),
;;;;;;;;;(cooperativadetransporterircay)-[:DISTANCIA_A {distancia:3, recorrido:24}]->(medigroup),
;;;;;;;;;(cooperativadetransporterircay)-[:DISTANCIA_A {distancia:196, recorrido:35}]->(centrodesaludtipocelrecreo),
;;;;;;;;;(medigroup)-[:DISTANCIA_A {distancia:196, recorrido:31}]->(centrodesaludtipocelrecreo),
;;;;;;;;;(medigroup)-[:DISTANCIA_A {distancia:259, recorrido:34}]->(clinicamoreno),
;;;;;;;;;(centrodesaludtipocelrecreo)-[:DISTANCIA_A {distancia:29, recorrido:4}]->(clinicamoreno),
;;;;;;;;;(centrodesaludtipocelrecreo)-[:DISTANCIA_A {distancia:285, recorrido:49}]->(hospitalgeneralde120camasduran),
;;;;;;;;;(clinicamoreno)-[:DISTANCIA_A {distancia:309, recorrido:49}]->(hospitalgeneralde120camasduran),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(parquesanjose),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(parquecdlamodular),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(parquecdla16deoctubre),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(parqueacuaticoheroesnacionales),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(parquedelaprimavera1),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(parquerecreacionalcdlarioguayas),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(parquealamadre),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(parquecolinasdelvalle),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(parqueprimavera),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(skatemunicipaldeduranprima2),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(parqueecologicoduran),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(parqueprimavera2),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(canteracerrogrande),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(primerparque4taetrecreo),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(canchasdeindor),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(parquedela5taetapa),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(areasverdes),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(parque),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(hotellariaduran),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(iglesiadediosduran),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(iglesiacatolicasantamariareinadelasfamilias),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(laiglesiadejesucristosudcapillaponton),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(iglesiaevangelicalaresurreccion),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(iglesiaevangélicaatriosdealabanzas),
